filtercategory,namesansparty,Last_updated,title,Subhed2,Description,email,subhed3,lastname,piclink,chamber,yn,Subhed1
D,JOHN ARMATO,,JOHN ARMATO (D),2,609-383-1388,AsmArmato@njleg.org,AsmArmato@njleg.org,Armato,armato_john_2017.jpg,Asm,N,
R,ROBERT AUTH,Jan 2018,ROBERT AUTH (R),39,862-248-0491,AsmAuth@njleg.org,AsmAuth@njleg.org,Auth,auth_robert_2017.jpg,Asm,N,
D,DANIEL R. BENSON,,DANIEL R. BENSON (D),14,609-631-0198,AsmBenson@njleg.org,AsmBenson@njleg.org,Benson,benson_color.jpg,Asm,U,
R,JON M. BRAMNICK,,JON M. BRAMNICK (R),21,,AsmBramnick@njleg.org,AsmBramnick@njleg.org,Bramnick,bramnick_color.jpg,Asm,N,
R,ANTHONY M. BUCCO,,ANTHONY M. BUCCO (R),25,973-927-2526,AsmBucco@njleg.org,AsmBucco@njleg.org,Bucco,bucco_a_m_color.jpg,Asm,N,
D,JOHN J. BURZICHELLI,,JOHN J. BURZICHELLI (D),3,856-251-9801,AsmBurzichelli@njleg.org,AsmBurzichelli@njleg.org,Burzichelli,burzichelli_color.jpg,Asm,Y,
D,CLINTON CALABRESE,,CLINTON CALABRESE (D),36,201-943-0615,ccalabrese@njleg.org,ccalabrese@njleg.org,Calabrese,,Asm,U,
D,RALPH R. CAPUTO,Jan 2018,RALPH R. CAPUTO (D),28,973-450-0484,AsmCaputo@njleg.org,AsmCaputo@njleg.org,Caputo,caputo_color.jpg,Asm,N,
R,MICHAEL PATRICK CARROLL,,MICHAEL PATRICK CARROLL (R),25,973-539-8113,AsmCarroll@njleg.org,AsmCarroll@njleg.org,Carroll,carroll_michael_2017.jpg,Asm,Y,
D,LINDA S. CARTER,,LINDA S. CARTER (D),22,,AsmCarter@njleg.org,AsmCarter@njleg.org,Carter,,Asm,U,
D,ANNETTE CHAPARRO,,ANNETTE CHAPARRO (D),33,201-683-7917,AsmChaparro@njleg.org,AsmChaparro@njleg.org,Chaparro,chaparro_color.jpg,Asm,U,
D,NICHOLAS A. CHIARAVALLOTI,,NICHOLAS A. CHIARAVALLOTI (D),31,201-471-2347,AsmChiaravalloti@njleg.org,AsmChiaravalloti@njleg.org,Chiaravalloti,chiaravalloti_color.jpg,Asm,U,
R,ROBERT D. CLIFTON,,ROBERT D. CLIFTON (R),12,732-446-3408,AsmClifton@njleg.org,AsmClifton@njleg.org,Clifton,clifton_color.jpg,Asm,U,
D,"HERB CONAWAY, JR.",,"HERB CONAWAY, JR. (D)",7,856-461-3997,AsmConaway@njleg.org,AsmConaway@njleg.org,Conaway,conaway_color.jpg,Asm,U,
D,CRAIG J. COUGHLIN,,CRAIG J. COUGHLIN (D),19,732-855-7441,AsmCoughlin@njleg.org,AsmCoughlin@njleg.org,Coughlin,coughlin_craig_2017.jpg,Asm,Y,
R,RONALD S. DANCER,,RONALD S. DANCER (R),12,732-901-0702,AsmDancer@njleg.org,AsmDancer@njleg.org,Dancer,dancer_color.jpg,Asm,U,
D,JOE DANIELSEN,,JOE DANIELSEN (D),17,732-247-3999,AsmDanielsen@njleg.org,AsmDanielsen@njleg.org,Danielsen,danielsen_color.jpg,Asm,Y,
D,WAYNE P. DEANGELO,,WAYNE P. DEANGELO (D),14,609-631-7501,AsmDeAngelo@njleg.org,AsmDeAngelo@njleg.org,DeAngelo,deangelo_color.jpg,Asm,Y,
R,BETTYLOU DeCROCE,,BETTYLOU DeCROCE (R),26,973-265-0057,AsmDeCroce@njleg.org,AsmDeCroce@njleg.org,DeCroce,decroce_betty_lou_color.jpg,Asm,N,
R,CHRISTOPHER P. DEPHILLIPS,,CHRISTOPHER P. DEPHILLIPS (R),40,201-444-9719,AsmDePhillips@njleg.org,AsmDePhillips@njleg.org,DePhillips,dephillips_christopher_2017.jpg,Asm,N,
R,JOHN DIMAIO,April 2019,JOHN DIMAIO (R),23,908-722-1365,AsmDimaio@njleg.org,AsmDimaio@njleg.org,Dimaio,dimaio_john_2017.jpg,Asm,N,
R,SERENA DIMASO,,SERENA DIMASO (R),13,732-933-1591,AsmDimaso@njleg.org,AsmDimaso@njleg.org,Dimaso,dimaso_serena_2017.jpg,Asm,N,
D,JOANN DOWNEY,,JOANN DOWNEY (D),11,732-695-3371,AsmDowney@njleg.org,AsmDowney@njleg.org,Downey,downey_color.jpg,Asm,Y,
D,JOSEPH V. EGAN,,JOSEPH V. EGAN (D),17,732-249-4550,AsmEgan@njleg.org,AsmEgan@njleg.org,Egan,egan_color.jpg,Asm,U,
D,ROY FREIMAN,,ROY FREIMAN (D),16,908-450-7064,AsmFreiman@njleg.org,AsmFreiman@njleg.org,Freiman,freiman_roy_2017.jpg,Asm,U,
D,THOMAS P. GIBLIN,,THOMAS P. GIBLIN (D),34,973-779-3125,AsmGiblin@njleg.org,AsmGiblin@njleg.org,Giblin,giblin_color.jpg,Asm,U,
R,DIANNE C. GOVE,,DIANNE C. GOVE (R),9,609-693-6700,AsmGove@njleg.org,AsmGove@njleg.org,Gove,gove_color.jpg,Asm,N,
D,LOUIS D. GREENWALD,,LOUIS D. GREENWALD (D),6,856-435-1247,AsmGreenwald@njleg.org,AsmGreenwald@njleg.org,Greenwald,greenwald_color.jpg,Asm,U,
R,AMY H. HANDLIN,,AMY H. HANDLIN (R),13,732-383-7820,AsmHandlin@njleg.org,AsmHandlin@njleg.org,Handlin,handlin_color.jpg,Asm,N,
D,JAMEL C. HOLLEY,Jan 2018,JAMEL C. HOLLEY (D),20,908-624-0880,AsmHolley@njleg.org,AsmHolley@njleg.org,Holley,holley_color.jpg,Asm,Y,
