filtercategory,namesansparty,Last_updated,title,Subhed2,Description,email,subhed3,lastname,piclink,chamber,yn,Subhed1
D,JAMES BEACH,,JAMES BEACH (D),6,856-429-1572,SenBeach@njleg.org,SenBeach@njleg.org,Beach,beach_color.jpg,Sen,N,
D,RICHARD J. CODEY,,RICHARD J. CODEY (D),27,973-535-5017,SenCodey@njleg.org,SenCodey@njleg.org,Codey,codey_color.jpg,Sen,N,
D,NILSA CRUZ-PEREZ,,NILSA CRUZ-PEREZ (D),5,856-547-4800,SenCruzPerez@njleg.org,SenCruzPerez@njleg.org,CruzPerez,cruzperez_color.jpg,Sen,U,
D,JOSEPH P. CRYAN,,JOSEPH P. CRYAN (D),20,908-624-0880,SenCryan@njleg.org,SenCryan@njleg.org,Cryan,cryan_joseph_2017.jpg,Sen,N,
D,SANDRA B. CUNNINGHAM,,SANDRA B. CUNNINGHAM (D),31,201-451-5100,SenCunningham@njleg.org,SenCunningham@njleg.org,Cunningham,cunningham_color.jpg,Sen,Y,
D,"PATRICK J. DIEGNAN, JR.",,"PATRICK J. DIEGNAN, JR. (D)",18,908-757-1677,SenDiegnan@njleg.org,SenDiegnan@njleg.org,Diegnan,diegnan_2017.jpg,Sen,Y,
D,NIA H. GILL,Jan 2018,NIA H. GILL (D),34,973-509-0388,SenGill@njleg.org,SenGill@njleg.org,Gill,gill_color.jpg,Sen,N,
D,VIN GOPAL,Jan 2018,VIN GOPAL (D),11,732-695-3371,SenGopal@njleg.org,SenGopal@njleg.org,Gopal,gopal_vin_2017.jpg,Sen,Y,
D,LINDA R. GREENSTEIN,,LINDA R. GREENSTEIN (D),14,609-395-9911,SenGreenstein@njleg.org,SenGreenstein@njleg.org,Greenstein,greenstein_color.jpg,Sen,U,
D,JOSEPH A. LAGANA,,JOSEPH A. LAGANA (D),38,201-576-9199,SenLagana@njleg.org,SenLagana@njleg.org,Lagana,lagana_color.jpg,Sen,U,
D,"FRED H. MADDEN, JR.",,"FRED H. MADDEN, JR. (D)",4,856-232-6700,SenMadden@njleg.org,SenMadden@njleg.org,Madden,madden_color.jpg,Sen,N,
D,NELLIE POU,,NELLIE POU (D),35,973-247-1555,SenPou@njleg.org,SenPou@njleg.org,Pou,pou_color.jpg,Sen,U,
D,RONALD L. RICE,Jan 2018,RONALD L. RICE (D),28,973-371-5665,SenRice@njleg.org,SenRice@njleg.org,Rice,rice_color.jpg,Sen,N,
D,M. TERESA RUIZ,,M. TERESA RUIZ (D),29,973-484-1000,SenRuiz@njleg.org,SenRuiz@njleg.org,Ruiz,ruiz_color.jpg,Sen,Y,
D,NICHOLAS J. SACCO,Jan 2018,NICHOLAS J. SACCO (D),32,201-295-0200,SenSacco@njleg.org,SenSacco@njleg.org,Sacco,sacco_color.jpg,Sen,U,
D,PAUL A. SARLO,Jan 2018,PAUL A. SARLO (D),36,201-804-8118,SenSarlo@njleg.org,SenSarlo@njleg.org,Sarlo,sarlo_color.jpg,Sen,N,
D,NICHOLAS P. SCUTARI,Jan 2018,NICHOLAS P. SCUTARI (D),22,908-587-0404,SenScutari@njleg.org,SenScutari@njleg.org,Scutari,scutari_color.jpg,Sen,Y,
D,TROY SINGLETON,,TROY SINGLETON (D),7,856-234-2790,SenSingleton@njleg.org,SenSingleton@njleg.org,Singleton,singleton_color.jpg,Sen,Y,
D,BOB SMITH,,BOB SMITH (D),17,732-752-0770,SenBSmith@njleg.org,SenBSmith@njleg.org,Smith,smith_color.jpg,Sen,U,
D,BRIAN P. STACK,,BRIAN P. STACK (D),33,201-721-5263,SenStack@njleg.org,SenStack@njleg.org,Stack,stack_color.jpg,Sen,U,
D,STEPHEN M. SWEENEY,,STEPHEN M. SWEENEY (D),3,856-251-9801,SenSweeney@njleg.org,SenSweeney@njleg.org,Sweeney,sweeney_color.jpg,Sen,Y,
D,SHIRLEY K. TURNER,Jan 2018,SHIRLEY K. TURNER (D),15,609-323-7239,SenTurner@njleg.org,SenTurner@njleg.org,Turner,turner_color.jpg,Sen,N,
D,JOSEPH F. VITALE,Jan 2018,JOSEPH F. VITALE (D),19,732-855-7441,SenVitale@njleg.org,SenVitale@njleg.org,Vitale,vitale_color.jpg,Sen,Y,
D,LORETTA WEINBERG,,LORETTA WEINBERG (D),37,201-928-0100,SenWeinberg@njleg.org,SenWeinberg@njleg.org,Weinberg,weinberg_color.jpg,Sen,Y,
D,DAWN MARIE ADDIEGO,Feb 2018,DAWN MARIE ADDIEGO (D),8,609-654-1498,SenAddiego@njleg.org,SenAddiego@njleg.org,Addiego,addiego_color.jpg,Sen,U,
R,"CHRISTOPHER ""KIP"" BATEMAN",Feb 2019,"CHRISTOPHER ""KIP"" BATEMAN (R)",16,908-526-3600,SenBateman@njleg.org,SenBateman@njleg.org,Bateman,bateman_color.jpg,Sen,N,
R,CHRIS A. BROWN,Jan 2018,CHRIS A. BROWN (R),2,609-677-8266,SenBrown@njleg.org,SenBrown@njleg.org,Brown,brown_chris_color.jpg,Sen,U,
R,ANTHONY R. BUCCO,,ANTHONY R. BUCCO (R),25,973-627-9700,SenBucco@njleg.org,SenBucco@njleg.org,Bucco2,bucco_a_r_color.jpg,Sen,N,
R,GERALD CARDINALE,,GERALD CARDINALE (R),39,201-567-2324,SenCardinale@njleg.org,SenCardinale@njleg.org,Cardinale,cardinale_bw.jpg,Sen,N,
R,CHRISTOPHER J. CONNORS JR,Jan 2018,CHRISTOPHER J. CONNORS JR (R),9,609-693-6700,SenConnors@njleg.org,SenConnors@njleg.org,Connors,connors_chris_color.jpg,Sen,N,
R,KRISTIN M. CORRADO,,KRISTIN M. CORRADO (R),40,973-237-1360,SenCorrado@njleg.org,SenCorrado@njleg.org,CORRADO,corrado_kristin_2017.jpg,Sen,N,
R,MICHAEL J. DOHERTY,,MICHAEL J. DOHERTY (R),23,908-835-0552,SenDoherty@njleg.org,SenDoherty@njleg.org,Doherty,doherty_color.jpg,Sen,N,
R,JIM HOLZAPFEL,,JIM HOLZAPFEL (R),10,732-840-9028,SenHolzapfel@njleg.org,SenHolzapfel@njleg.org,Holzapfel,holzapfel_color.jpg,Sen,N,
R,"THOMAS H. KEAN, JR.",,"THOMAS H. KEAN, JR. (R)",21,908-918-0414,SenKean@njleg.org,SenKean@njleg.org,Kean2,kean_tom_color.jpg,Sen,N,
R,STEVEN V. OROHO,Feb 2019,STEVEN V. OROHO (R),24,973-300-0200,SenOroho@njleg.org,SenOroho@njleg.org,Oroho,oroho_color.jpg,Sen,N,
R,"DECLAN O'SCANLON, JR",Jan 2018,"DECLAN O'SCANLON, JR (R)",13,732-933-1591,SenOScanlon@njleg.org,SenOScanlon@njleg.org,OScanlon,oscanlon_color.jpg,Sen,N,
R,JOSEPH PENNACCHIO,,JOSEPH PENNACCHIO (R),26,973-227-4012,SenPennacchio@njleg.org,SenPennacchio@njleg.org,Pennacchio,pennacchio_color.jpg,Sen,N,
R,ROBERT W. SINGER,,ROBERT W. SINGER (R),30,732-987-5669,SenSinger@njleg.org,SenSinger@njleg.org,Singer,singer_color.jpg,Sen,N,
R,SAMUEL D. THOMPSON,,SAMUEL D. THOMPSON (R),12,732-607-7580,SenThompson@njleg.org,SenThompson@njleg.org,Thompson,thompson_color.jpg,Sen,N,
